station lon lat moho av_vp av_vs av_rho
ID11178 51.19 35.01 43.0 6.313783720930233 nan 2.806389984193558
ID12840p -104.09 52.23 52.0 6.3842028846153855 nan 2.8696324393339037
ID12790p -74.46 44.01 50.0 6.6302069999999995 nan 2.9243815133667153
ID9573p 35.23 30.26 34.5 6.097279710144927 nan 2.738054968106021
ID12682p -113.35 53.22 37.0 6.3221351351351345 nan 2.883137412902144
ID9683p 35.67 30.27 37.1 6.328446091644206 nan 2.9089926782887328
ID11180 51.25 35.56 48.0 6.324613541666667 nan 2.8483717810537477
ID18240p -75.63 4.48 43.0 6.118987209302325 nan 2.751813066585314
ID12837p -102.23 51.82 38.5 6.1589831168831175 nan 2.7787667069659583
ID14873p -103.35 39.56 40.3 6.171786600496278 nan 2.8197245996544327
ID9569p 35.28 30.77 34.5 6.099869565217391 nan 2.752399712411219
ID11469 53.6 28.45 47.9 5.914328810020877 nan 2.7169753628691127
ID12797p -114.59 62.93 44.0 6.528101136363637 nan 2.927852640439281
ID9574p 35.48 30.24 35.0 6.099892857142858 nan 2.736347893448825
ID12411 -85.39 35.06 46.5 6.558808602150537 nan 2.938200564701811
ID14874p -102.58 39.56 45.5 6.242703296703297 nan 2.815991655003606
ID9578p 36.14 29.94 38.0 6.100659210526316 nan 2.7551194745845424
ID12830p -102.8 53.09 42.3 6.03341134751773 nan 2.699418302834994
ID13730 -80.33 22.52 24.0 5.996583333333334 nan 2.7728373178822743
ID12826p -101.98 54.72 37.1 6.033207547169811 nan 2.7428222089532035
ID11269 58.8 37.95 45.8 6.479879912663756 nan 2.9721035056905754
ID12827p -103.37 54.9 37.2 6.26429435483871 nan 2.8003315628239895
ID3508p -109.68 51.38 42.2 6.078156398104265 nan 2.7623864591044147
ID13734 -77.24 19.92 19.0 6.183715789473684 nan 2.901903817140273
ID12831p -104.58 53.42 43.95 6.32046188850967 nan 2.8369633646789483
ID9579p 35.32 29.68 32.0 6.1017390625 nan 2.7544425149272875
ID9580p 35.39 29.42 32.0 6.103307812499999 nan 2.750943915629657
ID11268 54.94 39.84 48.0 6.299635416666667 nan 2.8656871647146347
ID12169p -70.61 -38.91 31.0 5.854354838709677 nan 2.691711930539469
ID12796p -114.22 62.07 44.0 6.418669318181816 nan 2.865376724465314
ID9575p 35.21 30.09 36.0 6.099888888888889 nan 2.740080904041015
ID13736 -77.78 20.97 31.0 6.159472580645162 nan 2.8316236868487787
ID17243p 103.18 -4.38 31.0 5.625241935483871 nan 2.6452007856374142
ID9471p 35.87 29.74 35.4 6.406977401129944 nan 2.8648298258979668
ID13459 -103.66 33.4 52.8 6.50915625 nan 2.940966931991442
ID2089 -116.06 49.0 37.5 6.146452 nan 2.7545162339429865
ID13471 -74.31 50.02 33.7 6.703397626112759 nan 2.9493796693023864
ID12948 -106.19 47.73 45.0 6.435259999999999 nan 2.9194045739076038
ID3803 88.61 28.42 73.57 6.2832744325132515 nan 2.7708017511480647
ID3156 -93.22 46.66 42.0 6.502678571428573 nan 2.911773100622474
ID11312 33.87 25.96 30.0 6.159483333333332 nan 2.810595922083591
ID8361 -63.41 7.3 43.9 6.469794988610478 nan 2.89196638635193
ID2102 -107.07 32.81 34.8 6.372169540229884 nan 2.878408093242376
ID2103 -107.07 32.81 25.6 6.05927734375 nan 2.7595951893849167
ID3023 -86.51 48.18 50.6 6.504357707509882 nan 2.9347677884485925
ID2513 6.82 47.78 26.0 6.187846153846154 nan 2.831892418009387
ID1740 131.76 -30.45 40.5 6.244037037037037 nan 2.783515632540695
ID5254 -76.6 1.05 43.0 6.303046511627907 nan 2.8331775445671634
ID3802 87.01 28.52 73.21 6.363427127441606 nan 2.802185919309423
ID6946 102.25 26.9 21.0 6.007409523809524 nan 2.760790644861853
ID2077 -111.9 48.33 40.0 6.453275 nan 2.9214689479941653
ID13470 -75.15 50.07 32.9 6.662127659574469 nan 2.9407148742998133
ID13472 -73.64 49.75 40.8 6.724558823529412 nan 2.9604422849108016
ID29 -116.04 37.13 25.5 5.938882352941176 nan 2.7463223485635067
ID10345 -70.69 -16.7 36.6 6.231543715846994 nan 2.8280605304121695
ID2288 -87.5 38.69 38.39 6.439309716071894 nan 2.897574249737863
ID2505 7.58 48.6 26.0 5.968576923076922 nan 2.7875498433568993
ID2459 9.6 50.2 27.0 5.970648148148149 nan 2.7376717125394237
ID235 54.99 39.21 40.0 5.4919625 nan 2.616988803180269
ID12803 -113.06 39.65 26.0 5.9449788461538455 nan 2.754843756647481
ID234 54.58 39.2 42.7 5.7942857142857145 nan 2.762552287314312
ID3931p 57.47 33.78 43.0 5.960418604651163 nan 2.67853444494163
ID2464 6.57 49.17 29.0 5.980517241379309 nan 2.8332427498339463
ID2458 9.71 50.14 28.0 6.1542321428571425 nan 2.79963351387431
ID2504 7.75 48.69 23.0 5.775326086956521 nan 2.759144682665472
ID5243 -76.49 3.75 34.7 6.521557636887608 nan 2.92905357886379
ID3154 -86.4 48.71 47.0 6.501478723404254 nan 2.890563660663973
ID3801 86.38 28.65 72.86 6.284772165797418 nan 2.7731553760457963
ID10344 -71.23 -16.73 54.0 6.607972222222223 nan 2.9804290827927633
ID2289 -87.97 38.03 37.52 6.388618070362473 nan 2.888406682223816
ID13473 -73.13 49.26 32.0 6.578765625 nan 2.923767147126788
ID11260 34.29 26.08 29.0 6.030741379310345 nan 2.7245995316654885
ID1592 -118.5 48.9 34.0 6.211676470588236 nan 2.781494575520447
ID38 -115.97 36.8 28.4 6.092966549295775 nan 2.7437993201188866
ID2070 -89.59 32.56 27.5 5.9483818181818195 nan 2.854806562429793
ID10 -103.66 33.4 50.8 6.547896653543307 nan 2.951672172860704
ID3805 89.86 28.81 64.1 6.213548361934477 nan 2.7902461342474183
ID5290 -76.29 4.03 29.0 6.824836206896552 nan 3.0619763444409016
ID12351 -74.5 41.0 35.0 6.491908571428572 nan 2.8978862614373853
ID2306 21.93 63.12 41.6 6.523263221153846 nan 2.911029102474156
ID2460 10.26 50.1 29.0 6.2094310344827575 nan 2.8214471175055458
ID3024 -86.6 47.92 55.0 6.381827272727272 nan 2.8911219301688917
ID13926 -6.95 38.12 34.2 6.510116959064328 nan 2.9387351928635645
ID1627 -94.3 29.97 33.0 5.48755606060606 nan 2.7816850239595983
ID8398 104.0 29.5 40.1 6.181014962593516 nan 2.7740376615771116
ID12806 -103.43 38.29 47.5 6.148822105263158 nan 2.7640572703335393
ID11499 43.23 14.88 25.4 6.357688976377953 nan 2.8897993485779923
ID8366 171.68 -42.18 30.1 5.976810631229236 nan 2.8027114118579233
ID12807 -103.43 38.29 47.7 6.423611111111111 nan 2.895965435308703
ID1626 -94.34 30.74 48.8 6.568181352459017 nan 3.021649909235509
ID3025 -86.66 47.74 54.9 6.593132969034608 nan 2.9393906621785018
ID13927 -6.67 38.52 36.15 6.608741355463349 nan 2.9849365043547555
ID2461 7.36 49.69 29.75 6.187210084033613 nan 2.8393983212500546
ID16081 -9.02 32.36 36.2 6.27024861878453 nan 2.902899345714585
ID315p -103.62 32.85 52.8 6.636513257575756 nan 2.986371427294186
ID4158 100.64 25.8 45.5 6.4983626373626375 nan 2.9239727511127453
ID2515 7.24 48.53 25.5 6.141490196078432 nan 2.791671422135696
ID3804 89.63 28.53 75.0 6.327133333333333 nan 2.79119357175133
ID11 -111.29 50.48 48.5 6.600621649484535 nan 2.9404924178062792
ID39 -107.08 34.88 39.6 6.335561868686869 nan 2.8142818260831883
ID1593 -118.62 47.48 30.0 6.1598999999999995 nan 2.7641733528778714
ID2287 -118.62 47.48 30.0 6.1598999999999995 nan 2.7641733528778714
ID13476 -71.31 48.58 30.3 6.564950495049505 nan 2.918687172681111
ID13460 -114.91 39.34 32.1 6.158817757009345 nan 2.847219074013688
ID13474 -72.85 49.21 31.0 6.530161290322581 nan 2.9132240290666997
ID2073 -76.45 38.27 25.1 5.878067729083665 nan 2.7843224330553005
ID13 -79.11 35.14 30.87 5.960568513119533 nan 2.704339918056393
ID9 -109.39 33.53 56.9 6.682694200351494 nan 3.018352770687365
ID3806 90.64 29.87 71.5 6.140586013986014 nan 2.7463760690688073
ID186 -76.66 1.61 66.1 6.5340869894099844 nan 2.915194337885864
ID10343 -73.06 -16.15 47.7 6.523280922431867 nan 2.950363243854925
ID12106p -46.48 -23.59 33.3 6.409234234234233 nan 2.881004634195679
ID2503 7.71 47.91 25.0 6.12332 nan 2.8075211809334206
ID5250 -76.01 3.53 42.4 6.288584905660378 nan 2.8069490152120986
ID5244 -77.0 1.59 46.9 6.539985074626864 nan 2.93952914398574
ID2463 7.59 49.99 29.5 6.322677966101695 nan 2.8122441095598147
ID54p -111.87 40.87 29.4 6.074331632653061 nan 2.832777863038971
ID12805 -113.06 39.65 29.6 6.09989189189189 nan 2.8116912635916633
ID2648 9.75 44.12 29.0 6.08396551724138 nan 2.8340840302186345
ID12804 -113.06 39.65 28.6 6.017986013986015 nan 2.7770195695670967
ID3026 -86.81 47.34 46.2 6.540703463203464 nan 2.944535125469446
ID2462 7.1 50.33 27.8 6.178390287769784 nan 2.8259813547734858
ID5245 -76.57 3.18 37.6 6.407704787234043 nan 2.8944259801431804
ID2270 -117.32 39.45 29.0 6.171258620689655 nan 2.7945999310873018
ID2269 -117.32 39.45 29.0 6.171258620689655 nan 2.7945999310873018
ID2502 7.43 48.01 23.5 5.972765957446808 nan 2.785205322413697
ID10342 -75.36 -14.58 44.9 6.563708240534522 nan 2.9634162667447725
ID187 -77.45 0.42 66.1 6.5541792738275335 nan 2.925870103707216
ID3807 90.98 30.32 71.5 6.200302797202798 nan 2.7712381997139945
ID3052p -80.73 37.32 51.4 6.339523346303502 nan 2.829951769159024
ID2072 -95.64 44.48 49.0 6.436561224489796 nan 2.9080069923537986
ID13475 -72.35 48.99 33.1 6.605989425981873 nan 2.9307954223552795
ID12724 -96.09 50.22 26.1 6.207683908045977 nan 2.776533438489935
ID12718 -97.19 50.83 20.3 6.154017241379311 nan 2.758702993203548
ID61 -90.45 41.96 43.58 6.4854417163836615 nan 2.911187305396659
ID4100 118.43 35.08 32.2 6.323493788819876 nan 2.8550995481411405
ID1695 118.02 -22.38 31.5 6.409503174603174 nan 2.855846869403815
ID1642 -105.81 41.8 36.7 6.28258855585831 nan 2.831322265136232
ID2439 7.4 50.95 23.2 6.005021551724138 nan 2.7856612591559595
ID2363 9.49 50.31 25.65 5.889346978557504 nan 2.7084412125207873
ID10735 -15.89 22.45 28.6 6.434475524475524 nan 2.878126896438087
ID241 73.0 38.68 62.0 5.86283064516129 nan 2.6194658459619813
ID2607 25.83 35.12 32.2 6.2722049689440995 nan 2.836564932579365
ID2606 24.06 35.31 31.5 6.145898412698411 nan 2.7919715947496266
ID240 72.5 38.63 58.4 5.7753938356164385 nan 2.66331879592112
ID10734 -16.37 22.54 28.2 6.441170212765957 nan 2.8807631185221383
ID2404 -120.59 36.98 17.4 5.669295977011494 nan 2.8653383664802723
ID2362 9.38 50.52 28.8 6.108758680555556 nan 2.8062723316865177
ID2410 -113.42 39.67 27.8 6.054064748201439 nan 2.8035257525759167
ID2438 9.13 50.24 25.5 5.946294117647058 nan 2.7365801673628787
ID1657 130.64 -11.42 31.41 6.081467685450494 nan 2.8374764727702555
ID1643 -93.92 47.09 42.5 6.527482352941177 nan 2.9112731555494444
ID1870 -117.2 39.49 30.4 6.116305921052632 nan 2.8012644173359313
ID1694 119.23 -20.75 27.0 6.334894444444444 nan 2.827284426574406
ID4101 118.16 36.69 31.4 6.299235668789809 nan 2.837637382501644
ID1723 146.48 -22.44 40.3 6.11567617866005 nan 2.814527694873397
ID60 -89.47 46.46 49.2 6.674423780487804 nan 2.950823268126801
ID74 -116.06 49.0 37.0 6.11132027027027 nan 2.743423110827758
ID12080 -76.45 38.27 25.9 5.93076640926641 nan 2.767679180224166
ID12719 -96.64 50.93 21.7 6.173435483870968 nan 2.7657581193642926
ID12725 -96.13 49.71 29.6 6.330555743243243 nan 2.82700542546391
ID62 -89.12 44.03 39.1 6.216777493606138 nan 2.770848580393715
ID12928 -106.17 46.2 41.0 6.405625609756098 nan 2.9156276670894066
ID76 -111.43 45.78 45.4 6.499911894273128 nan 2.89017513464253
ID4117 121.2 24.21 43.6 6.198136467889908 nan 2.8387000062693795
ID1709 149.3 -35.31 47.5 6.522523157894738 nan 2.915364815967695
ID1696 117.81 -22.86 34.0 6.423130882352941 nan 2.853590385107656
ID11164 40.49 13.54 16.05 6.105757009345794 nan 2.9420450951737367
ID11163 40.49 13.54 16.05 6.124479750778816 nan 2.9420450951737367
ID3042 -93.57 33.68 29.0 5.87851724137931 nan 2.810283748760105
ID1655 136.77 -16.32 39.02 6.463373910814966 nan 2.9195221264975064
ID1641 -109.95 43.16 45.6 5.86498903508772 nan 2.7908918485054555
ID2360 9.95 50.97 29.65 6.173920741989882 nan 2.8108675833790273
ID2374 35.49 31.67 31.68 6.301811868686869 nan 2.8908510336437256
ID2604 25.17 37.59 26.2 6.22770038167939 nan 2.823737239889568
ID242 73.0 39.6 72.2 5.996994459833795 nan 2.717266333383686
ID4260 -105.84 40.23 53.37 6.305415027168821 nan 2.823916871188494
ID4248 141.11 38.51 24.0 6.128052083333333 nan 2.7481092069614648
ID2361 9.78 50.73 27.3 6.072847985347985 nan 2.8063302893000626
ID5292p -76.29 4.03 26.5 6.671150943396227 nan 2.9972459441794754
ID1654 135.24 -16.7 48.0 6.650347916666667 nan 2.9873760074952234
ID1867 -116.42 36.47 35.0 6.016628571428571 nan 2.7510411917374276
ID1697 116.84 -21.92 32.0 6.361932812500001 nan 2.8402999066645234
ID4089 119.76 26.46 30.5 6.294721311475409 nan 2.832091884380223
ID5208 -4.16 41.6 35.1 6.1213817663817665 nan 2.8238525380025767
ID1708 149.32 -34.6 42.75 6.48608187134503 nan 2.914019476967477
ID15539 -9.15 31.91 35.0 6.2175142857142855 nan 2.899033989389504
ID12929 -105.06 46.16 46.0 6.443080434782609 nan 2.9207085843722953
ID15713 9.92 36.07 30.9 5.941328478964401 nan 2.7868115392800785
ID12726 -96.11 49.44 32.5 6.315244615384615 nan 2.818032999843971
ID98 -55.57 49.36 36.7 6.334111716621253 nan 2.8260466701930507
ID2013 -90.7 35.37 38.4 6.290559895833332 nan 2.8906892610351185
ID8258 90.0 29.84 61.9 6.396627625201938 nan 2.872393449141327
ID12939 -106.67 46.92 51.0 6.474348039215686 nan 2.9243060698029173
ID4106 112.57 39.82 43.7 6.371029748283753 nan 2.8765448036438177
ID1693 119.59 -22.91 36.0 6.504747222222223 nan 2.9008284950668792
ID2365 8.01 50.59 29.0 6.054948275862069 nan 2.7831655721997297
ID2359 8.68 50.69 29.65 6.242487352445194 nan 2.8323775497655523
ID2198 40.49 13.54 17.1 6.068567251461988 nan 2.9306632378441866
ID10727 -15.88 22.72 27.3 6.422197802197802 nan 2.8743857136595943
ID247 69.56 38.81 51.3 6.045555555555556 nan 2.698362877568024
ID4264 -114.46 48.36 58.2 6.4150798969072165 nan 2.868455723419483
ID52p -112.2 39.33 24.7 5.895323886639676 nan 2.737022765758591
ID4259 -105.49 41.58 36.06 6.263865779256794 nan 2.8359484048207193
ID246 75.25 42.83 48.7 6.083891170431213 nan 2.738815180427841
ID16828 7.97 62.55 36.8 6.3457622282608686 nan 2.8296399336487665
ID2358 9.41 50.98 27.85 6.215511669658887 nan 2.835691781166294
ID2364 9.49 50.31 25.65 5.935058479532164 nan 2.7300432776629
ID1692 119.53 -20.73 27.0 6.296668518518519 nan 2.8237611609688544
ID12938 -106.22 46.84 54.0 6.495326851851851 nan 2.928410117929775
ID66 -75.06 44.17 34.8 6.72987643678161 nan 2.9802586792091286
ID99 -91.07 46.1 41.83 6.212042792254363 nan 2.8783944424860186
ID15714 9.42 34.63 31.5 5.639363492063492 nan 2.6321704325840587
ID58 -106.2 44.92 42.4 6.577252358490566 nan 2.93212268411355
ID318 -113.42 39.67 25.5 5.974096078431373 nan 2.7762759188007022
ID64 -87.67 44.45 37.49 6.078556948519605 nan 2.756213901645983
ID15310 37.5 0.8 39.2 6.508455357142857 nan 2.889589159326289
ID5270p -40.18 -9.54 43.0 6.637011627906977 nan 2.9482458738576276
ID2399 -92.33 36.99 38.33 6.07297025828333 nan 2.7260105441098035
ID2366 8.01 50.59 29.0 6.041620689655172 nan 2.772101330714138
ID2428 -67.67 54.49 38.1 6.586174540682415 nan 2.9419819208705404
ID1647 -91.93 35.09 43.3 6.374204387990762 nan 2.91100042774995
ID1653 134.1 -16.47 48.0 6.562678125000001 nan 2.9946529800262884
ID7961 117.91 39.8 31.1 6.072983922829582 nan 2.7847943628026295
ID1492 -79.11 35.14 37.0 6.245851351351351 nan 2.7933969778871437
ID250 76.42 43.18 38.5 6.239402597402597 nan 2.799986498026995
ID245 73.0 40.52 47.1 5.924267515923567 nan 2.6978847364758884
ID7960 118.11 39.57 33.8 6.214713017751479 nan 2.8807499443577256
ID9678p 34.45 31.25 27.2 5.991360294117647 nan 2.838661778810947
ID2429 -72.0 52.99 47.7 6.769351153039832 nan 3.0189929574327774
ID2367 34.33 28.01 26.74 6.536464098728498 nan 2.9175646092272447
ID2401 -90.71 37.75 39.51 6.224806378132119 nan 2.776318919621793
ID2398 -91.78 39.58 42.1 6.540976247030878 nan 2.9262039587565045
ID1691 120.08 -21.06 29.5 6.278703389830509 nan 2.8152963730208813
ID13012 -67.13 44.74 34.2 6.5351388888888895 nan 2.903579666638533
ID65 -76.94 40.76 32.7 5.99238379204893 nan 2.692238113149154
ID5030 -8.6 37.3 30.0 6.133983333333333 nan 2.774067570330493
ID71 -117.0 33.75 27.5 6.599800000000001 nan 2.9506002356605463
ID2950 29.45 -23.89 35.56 6.517449381327334 nan 2.8857189276736026
ID12936 -105.9 46.97 53.0 6.489560377358491 nan 2.927474162998707
ID15320 36.36 -1.23 35.55 6.189388185654008 nan 2.871460223454212
ID6695 -68.5 -67.3 36.0 6.661680555555555 nan 2.949332302944154
ID13023 -108.21 33.04 33.5 5.9227462686567165 nan 2.7651834367830874
ID1677 147.42 -26.91 37.01 6.206646852202107 nan 2.8155795966635333
ID2356 9.23 51.52 27.15 6.061307550644567 nan 2.8078380513227446
ID2424 -67.87 52.7 48.1 6.546226611226611 nan 2.9138080797268735
ID3262 -107.38 33.0 32.5 6.1274584615384615 nan 2.7987635177384425
ID4242 -114.65 37.68 36.0 5.986479166666666 nan 2.735234904951888
ID1474 -89.47 46.46 50.0 6.765915 nan 2.993455669165414
ID8197p 128.54 37.52 34.0 6.188676470588236 nan 2.7943040855344603
ID11351 -105.42 20.4 30.3 6.303333333333334 nan 2.9043614099141832
ID2828 -142.54 60.76 31.0 6.189217741935484 nan 2.796267768577855
ID13118p -70.25 45.07 38.3 6.42088772845953 nan 2.866595140616748
ID2425 -71.11 51.52 39.7 6.41837153652393 nan 2.8612273600487588
ID2357 8.83 50.75 28.85 6.238908145580589 nan 2.842218193993345
ID4040 119.76 26.46 31.5 6.244741269841269 nan 2.805556188260271
ID1676 147.15 -26.89 36.01 6.213718411552346 nan 2.822352563819022
ID13022 -106.99 33.89 33.6 6.109684523809523 nan 2.820566684672186
ID1702 131.58 -14.37 40.0 6.3499625 nan 2.8160637423835544
ID12937 -105.37 47.13 52.0 6.483686538461539 nan 2.9267309398452803
ID301 -116.9 50.73 42.3 6.490490543735224 nan 2.9207358397224206
ID12923 -105.2 45.36 39.0 6.3851448717948704 nan 2.911629143158175
ID41 -92.33 36.99 43.62 6.406835167354425 nan 2.8761218005042686
ID9456p -110.77 35.16 38.94 6.12540575243965 nan 2.790600917267608
ID96 -92.24 46.03 45.7 6.363341356673961 nan 2.8533537738497405
ID12074 -77.41 34.52 17.0 6.259323529411765 nan 2.7974472347048676
ID43 -82.09 36.51 45.3 6.5713333333333335 nan 2.9163029470004975
ID12935 -105.42 46.81 55.0 6.500775454545455 nan 2.9290349639774376
ID115 -132.76 54.74 26.46 6.46201814058957 nan 2.9134203550110462
ID1890 -103.71 32.23 45.0 5.709616666666666 nan 2.7530303838368577
ID1648 -91.93 35.09 41.0 6.257317073170732 nan 2.863269831915219
ID2355 9.9 51.14 26.85 6.063538175046555 nan 2.8162441241316327
ID3261 -107.48 32.17 30.0 6.133494999999999 nan 2.806766339988539
ID4254 -104.25 24.05 43.35 6.270268742791234 nan 2.8699713047046433
ID2083p -114.84 35.98 32.0 6.002640625 nan 2.7232665205452293
ID1640p -111.87 40.87 28.7 6.044933797909407 nan 2.8224708384000188
ID4731 94.51 35.88 52.6 6.275370722433459 nan 2.80674996785426
ID2220 -112.38 41.12 27.0 6.129074074074075 nan 2.794119145983283
ID100 -128.5 53.01 30.39 6.36049522869365 nan 2.847860263103927
ID16838p 5.88 62.26 40.5 6.4599111111111105 nan 2.875637622951163
ID12934 -106.28 46.69 51.0 6.474348039215686 nan 2.9243060698029173
ID42 -90.71 37.75 44.66 6.503308329601432 nan 2.8960734028041544
ID95 -59.85 43.94 35.0 5.607245714285715 nan 2.6989214440809772
ID12059 -76.55 46.51 36.0 6.305791666666668 nan 2.804435425846573
ID85 -122.2 47.61 30.0 6.499833333333333 nan 2.911069085317888
ID12717 -97.17 50.64 20.9 6.177772727272728 nan 2.7683536105316957
ID91 -88.67 45.67 40.65 6.311456334563346 nan 2.876077872095866
ID12930 -105.52 46.4 44.0 6.4328556818181815 nan 2.9206658926679565
ID12924 -105.61 45.47 46.0 6.443080434782609 nan 2.9207085843722953
ID46 -76.8 38.44 26.26 5.898796648895658 nan 2.7835889625938006
ID4682 109.7 24.06 31.38 6.338757170172084 nan 2.8741645984640787
ID5239 -76.94 3.78 28.8 6.092430555555556 nan 2.831828869713752
ID2556 -118.94 51.09 35.2 6.305511363636364 nan 2.83029205443431
ID2218 -106.64 33.06 31.8 6.1856650943396225 nan 2.8000883749154455
ID4090 117.35 23.78 28.8 6.362439236111111 nan 2.862749588073564
ID1665 134.85 -19.83 49.0 6.59565 nan 2.9478486531757424
ID12105 -46.92 -23.37 38.3 6.340362924281984 nan 2.850148440589527
ID298 -103.01 39.18 47.7 6.2132285115303985 nan 2.807078423542148
ID12104 -46.92 -23.37 36.3 6.1566597796143245 nan 2.779346003306917
ID1664 132.23 -15.45 43.93 6.351982699749602 nan 2.8339447705183143
ID2437 8.0 50.03 26.85 6.01913407821229 nan 2.778269007737523
ID2423 -106.12 39.77 52.0 6.2873269230769235 nan 2.8220777671628974
ID6686 -114.32 33.15 22.0 5.781613636363637 nan 2.6988871858372003
ID13024 -108.87 33.36 32.8 6.052271341463414 nan 2.7893633716829966
ID1710 148.52 -36.71 48.5 6.59691237113402 nan 2.953460424218463
ID2219 -107.92 32.44 30.2 6.208048013245034 nan 2.8212138237536175
ID2225 -117.11 37.01 31.5 5.9665 nan 2.70739013490744
ID4126 121.79 24.69 23.0 5.995217391304347 nan 2.7942737083875535
ID1738 130.89 -30.23 36.5 6.237904109589041 nan 2.7868603250328863
ID4898 -5.0 43.29 51.9 6.406974951830443 nan 2.8718283722536078
ID4683 89.69 40.65 50.5 6.150924752475248 nan 2.7332809927837234
ID53 -111.75 40.9 47.7 6.21507966457023 nan 2.8185339584926505
