LONG,LAT,MOHO_DEPTH,VP/VS,METHOD,SUB-METHOD,AUTHOR,V_PROFILE(Y/N),LOCATION,SUB_LOCATION
23.4,-27.93,40,1.79,Hk,-,EARS,N,Africa,
28.07,-27.9,37,1.78,Hk,-,EARS,N,Africa,
24.24,-27.88,38,1.71,Hk,-,EARS,N,Africa,
27.29,-27.86,38,1.75,Hk,-,EARS,N,Africa,
25.13,-27.85,38,1.73,Hk,-,EARS,N,Africa,
26.18,-27.55,39,1.73,Hk,-,EARS,N,Africa,
31.71,-27.35,35,1.72,Hk,-,EARS,N,Africa,
24.17,-27.07,36,1.72,Hk,-,EARS,N,Africa,
25.02,-27,38,1.74,Hk,-,EARS,N,Africa,
23.03,-26.93,26,1.97,Hk,-,EARS,N,Africa,
27.18,-26.9,35,1.75,Hk,-,EARS,N,Africa,
30.12,-26.88,39,1.74,Hk,-,EARS,N,Africa,
26.28,-26.87,39,1.74,Hk,-,EARS,N,Africa,
28.1,-26.8,40,1.63,Hk,-,EARS,N,Africa,
27.42,-26.42,40,1.64,Hk,-,EARS,N,Africa,
30.9,-26.03,39,1.78,Hk,-,EARS,N,Africa,
30.02,-25.99,46,1.76,Hk,-,EARS,N,Africa,
23.72,-25.97,35,1.69,Hk,-,EARS,N,Africa,
25.08,-25.93,38,1.7,Hk,-,EARS,N,Africa,
26.15,-25.9,42,1.7,Hk,-,EARS,N,Africa,
27.15,-25.9,43,1.76,Hk,-,EARS,N,Africa,
26.27,-25.85,41,1.73,Hk,-,EARS,N,Africa,
24.8,-25.81,40,1.67,Hk,-,EARS,N,Africa,
24.8,-25.81,40,1.69,Hk,-,EARS,N,Africa,
30.07,-25.79,44,1.75,Hk,-,EARS,N,Africa,
29.22,-25.67,36,1.87,Hk,-,EARS,N,Africa,
22.86,-25.48,36,1.79,Hk,-,EARS,N,Africa,
22.86,-25.48,40,1.64,Hk,-,EARS,N,Africa,
25.6,-25.02,42,1.77,Hk,-,EARS,N,Africa,
30.31,-24.96,39,1.68,Hk,-,EARS,N,Africa,
29.22,-24.89,64,1.93,Hk,-,EARS,N,Africa,
26.16,-24.88,38,1.94,Hk,-,EARS,N,Africa,
25.13,-24.85,40,1.83,Hk,-,EARS,N,Africa,
28.16,-24.85,30,2.07,Hk,-,EARS,N,Africa,
24.46,-24.84,40,1.76,Hk,-,EARS,N,Africa,
27.11,-24.84,38,1.93,Hk,-,EARS,N,Africa,
23.93,-24.52,34,2.08,Hk,-,EARS,N,Africa,
23.93,-24.52,42,1.7,Hk,-,EARS,N,Africa,
21.78,-24.11,47,1.84,Hk,-,EARS,N,Africa,
21.78,-24.11,63,2.02,Hk,-,EARS,N,Africa,
29.33,-24.11,42,1.65,Hk,-,EARS,N,Africa,
24.02,-23.95,42,1.72,Hk,-,EARS,N,Africa,
27.17,-23.87,39,1.71,Hk,-,EARS,N,Africa,
28.16,-23.86,34,2.06,Hk,-,EARS,N,Africa,
24.96,-23.85,42,1.76,Hk,-,EARS,N,Africa,
28.9,-23.8,37,1.85,Hk,-,EARS,N,Africa,
30.67,-23.73,39,1.77,Hk,-,EARS,N,Africa,
26.08,-23.66,42,1.79,Hk,-,EARS,N,Africa,
31.4,-23.52,47,1.69,Hk,-,EARS,N,Africa,
24.66,-23.38,40,1.76,Hk,-,EARS,N,Africa,
24.66,-23.38,41,1.75,Hk,-,EARS,N,Africa,
25.86,-23.36,47,1.69,Hk,-,EARS,N,Africa,
25.86,-23.36,41,1.82,Hk,-,EARS,N,Africa,
29.07,-23.01,42,1.72,Hk,-,EARS,N,Africa,
20.2,-22.99,43,1.76,Hk,-,EARS,N,Africa,
20.2,-22.99,41,1.81,Hk,-,EARS,N,Africa,
28.3,-22.98,42,1.73,Hk,-,EARS,N,Africa,
30.02,-22.98,41,1.72,Hk,-,EARS,N,Africa,
26.2,-22.97,42,1.69,Hk,-,EARS,N,Africa,
28.34,-22.88,42,1.71,Hk,-,EARS,N,Africa,
22.21,-22.85,44,1.73,Hk,-,EARS,N,Africa,
22.21,-22.85,25,1.6,Hk,-,EARS,N,Africa,
27.22,-22.82,42,1.72,Hk,-,EARS,N,Africa,
27.23,-22.82,45,1.66,Hk,-,EARS,N,Africa,
17.1,-22.57,39,1.96,Hk,-,EARS,N,Africa,
27.45,-22.57,42,1.77,Hk,-,EARS,N,Africa,
27.45,-22.57,42,1.77,Hk,-,EARS,N,Africa,
29.21,-22.26,66,1.68,Hk,-,EARS,N,Africa,
26.72,-22.24,44,1.76,Hk,-,EARS,N,Africa,
25.45,-21.95,38,1.76,Hk,-,EARS,N,Africa,
25.45,-21.95,40,1.74,Hk,-,EARS,N,Africa,
28.19,-21.95,35,2.05,Hk,-,EARS,N,Africa,
30.94,-21.92,35,1.87,Hk,-,EARS,N,Africa,
26.37,-21.9,40,1.64,Hk,-,EARS,N,Africa,
27.27,-21.89,35,1.68,Hk,-,EARS,N,Africa,
30.28,-21.85,34,2.09,Hk,-,EARS,N,Africa,
23.77,-21.4,48,1.71,Hk,-,EARS,N,Africa,
25.58,-21.39,43,1.66,Hk,-,EARS,N,Africa,
21.22,-21.36,46,1.83,Hk,-,EARS,N,Africa,
21.22,-21.36,45,1.87,Hk,-,EARS,N,Africa,
24.76,-21.12,42,1.74,Hk,-,EARS,N,Africa,
27.33,-21.1,41,1.7,Hk,-,EARS,N,Africa,
27.33,-21.1,40,1.78,Hk,-,EARS,N,Africa,
26.34,-21.09,50,1.74,Hk,-,EARS,N,Africa,
27.14,-20.93,50,1.63,Hk,-,EARS,N,Africa,
30.92,-20.76,41,1.7,Hk,-,EARS,N,Africa,
29.85,-20.64,36,1.73,Hk,-,EARS,N,Africa,
26.22,-20.56,47,1.75,Hk,-,EARS,N,Africa,
26.22,-20.56,48,1.77,Hk,-,EARS,N,Africa,
22.75,-20.55,51,1.98,Hk,-,EARS,N,Africa,
24.51,-20.47,44,1.74,Hk,-,EARS,N,Africa,
24.13,-20.22,40,1.75,Hk,-,EARS,N,Africa,
24.54,-20.2,49,1.61,Hk,-,EARS,N,Africa,
24.54,-20.2,47,1.66,Hk,-,EARS,N,Africa,
22.46,-20.16,42,1.97,Hk,-,EARS,N,Africa,
28.61,-20.14,38,1.72,Hk,-,EARS,N,Africa,
30.52,-20.02,38,1.71,Hk,-,EARS,N,Africa,
31.32,-19.96,39,1.71,Hk,-,EARS,N,Africa,
23.53,-19.9,38,1.87,Hk,-,EARS,N,Africa,
22.19,-19.66,42,1.65,Hk,-,EARS,N,Africa,
21.17,-19.53,38,1.75,Hk,-,EARS,N,Africa,
21.17,-19.53,38,1.7,Hk,-,EARS,N,Africa,
30.77,-19.47,38,1.7,Hk,-,EARS,N,Africa,
22.16,-19.39,42,1.76,Hk,-,EARS,N,Africa,
22.16,-19.39,44,1.72,Hk,-,EARS,N,Africa,
22.91,-19.29,64,1.81,Hk,-,EARS,N,Africa,
17.58,-19.2,38,1.72,Hk,-,EARS,N,Africa,
22.32,-19.02,45,1.71,Hk,-,EARS,N,Africa,
22.54,-18.91,33,2.09,Hk,-,EARS,N,Africa,
25.2,-18.78,38,1.66,Hk,-,EARS,N,Africa,
23.5,-18.62,34,2.02,Hk,-,EARS,N,Africa,
21.99,-18.58,51,1.68,Hk,-,EARS,N,Africa,
21.34,-18.54,38,1.77,Hk,-,EARS,N,Africa,
21.34,-18.54,41,1.7,Hk,-,EARS,N,Africa,
21.79,-18.3,33,1.81,Hk,-,EARS,N,Africa,
25.16,-17.8,45,1.64,Hk,-,EARS,N,Africa,
25.16,-17.8,38,1.74,Hk,-,EARS,N,Africa,
18.46,-17.77,42,1.83,Hk,-,EARS,N,Africa,
26.02,-15.75,40,1.71,Hk,-,EARS,N,Africa,
34.97,-15.68,38,2.09,Hk,-,EARS,N,Africa,
35.35,-15.38,40,1.74,Hk,-,EARS,N,Africa,
28.19,-15.28,46,1.62,Hk,-,EARS,N,Africa,
23.09,-15.15,42,1.64,Hk,-,EARS,N,Africa,
35.18,-14.55,30,1.61,Hk,-,EARS,N,Africa,
34.91,-14.09,39,1.81,Hk,-,EARS,N,Africa,
33.56,-13.72,44,1.76,Hk,-,EARS,N,Africa,
33.01,-13.71,44,1.79,Hk,-,EARS,N,Africa,
32.38,-13.5,46,1.71,Hk,-,EARS,N,Africa,
36.14,-13.47,30,1.63,Hk,-,EARS,N,Africa,
31.51,-13.35,39,1.84,Hk,-,EARS,N,Africa,
36.75,-13.35,42,1.74,Hk,-,EARS,N,Africa,
35.66,-13.33,51,1.68,Hk,-,EARS,N,Africa,
32.22,-13.31,47,1.74,Hk,-,EARS,N,Africa,
31.93,-13.25,50,1.68,Hk,-,EARS,N,Africa,
34.31,-13.22,47,1.62,Hk,-,EARS,N,Africa,
37.5,-13.2,43,1.68,Hk,-,EARS,N,Africa,
30.88,-13.17,26,1.81,Hk,-,EARS,N,Africa,
31.78,-13.12,42,1.61,Hk,-,EARS,N,Africa,
30.63,-13.08,25,2.1,Hk,-,EARS,N,Africa,
30.44,-12.94,47,1.68,Hk,-,EARS,N,Africa,
30.14,-12.7,46,1.62,Hk,-,EARS,N,Africa,
29.99,-12.3,42,1.67,Hk,-,EARS,N,Africa,
27.49,-11.63,40,1.66,Hk,-,EARS,N,Africa,
34.3,-11.61,41,1.68,Hk,-,EARS,N,Africa,
34.18,-11.47,63,1.68,Hk,-,EARS,N,Africa,
34.79,-11.25,40,1.77,Hk,-,EARS,N,Africa,
35.46,-11.2,36,1.76,Hk,-,EARS,N,Africa,
33.57,-11.18,44,1.66,Hk,-,EARS,N,Africa,
33.89,-11.18,42,1.69,Hk,-,EARS,N,Africa,
33.74,-10.98,43,1.66,Hk,-,EARS,N,Africa,
33.94,-10.94,26,1.6,Hk,-,EARS,N,Africa,
34.68,-10.88,41,1.75,Hk,-,EARS,N,Africa,
33.59,-10.83,44,1.72,Hk,-,EARS,N,Africa,
34.21,-10.78,63,1.86,Hk,-,EARS,N,Africa,
34.88,-10.76,39,1.75,Hk,-,EARS,N,Africa,
36.05,-10.69,38,1.67,Hk,-,EARS,N,Africa,
34.19,-10.68,26,1.98,Hk,-,EARS,N,Africa,
35.25,-10.68,38,1.76,Hk,-,EARS,N,Africa,
35.67,-10.68,37,1.74,Hk,-,EARS,N,Africa,
34.11,-10.61,38,1.68,Hk,-,EARS,N,Africa,
33.81,-10.59,30,2.09,Hk,-,EARS,N,Africa,
35.34,-10.47,38,1.75,Hk,-,EARS,N,Africa,
33.64,-10.35,36,1.81,Hk,-,EARS,N,Africa,
33.56,-10.16,48,1.62,Hk,-,EARS,N,Africa,
34.58,-10.14,30,1.6,Hk,-,EARS,N,Africa,
34.94,-10.13,39,1.85,Hk,-,EARS,N,Africa,
35.65,-10.11,34,1.92,Hk,-,EARS,N,Africa,
33.9,-9.95,37,1.88,Hk,-,EARS,N,Africa,
33.64,-9.91,65,1.64,Hk,-,EARS,N,Africa,
34.47,-9.85,42,1.76,Hk,-,EARS,N,Africa,
33.82,-9.79,28,1.99,Hk,-,EARS,N,Africa,
33.46,-9.78,43,1.68,Hk,-,EARS,N,Africa,
35.3,-9.76,42,1.61,Hk,-,EARS,N,Africa,
33.27,-9.71,44,1.67,Hk,-,EARS,N,Africa,
34.58,-9.59,36,1.64,Hk,-,EARS,N,Africa,
35.1,-9.55,36,1.72,Hk,-,EARS,N,Africa,
33.49,-9.51,36,1.78,Hk,-,EARS,N,Africa,
34.79,-9.47,33,1.83,Hk,-,EARS,N,Africa,
34.22,-9.45,36,2.1,Hk,-,EARS,N,Africa,
33.98,-9.43,36,1.77,Hk,-,EARS,N,Africa,
33.19,-9.4,30,1.63,Hk,-,EARS,N,Africa,
32.77,-9.3,25,1.75,Hk,-,EARS,N,Africa,
34.44,-9.29,44,1.64,Hk,-,EARS,N,Africa,
35.31,-9.29,27,1.97,Hk,-,EARS,N,Africa,
33.34,-9.28,42,1.6,Hk,-,EARS,N,Africa,
35.02,-9.27,35,1.65,Hk,-,EARS,N,Africa,
34.1,-9.26,37,1.97,Hk,-,EARS,N,Africa,
33.77,-9.19,48,1.71,Hk,-,EARS,N,Africa,
33.52,-9.15,48,1.6,Hk,-,EARS,N,Africa,
33.33,-9.08,38,1.74,Hk,-,EARS,N,Africa,
33.25,-9,34,1.8,Hk,-,EARS,N,Africa,
33.66,-9,54,1.86,Hk,-,EARS,N,Africa,
33.24,-8.98,36,1.75,Hk,-,EARS,N,Africa,
33.97,-8.96,44,1.6,Hk,-,EARS,N,Africa,
34.8,-8.84,32,2.05,Hk,-,EARS,N,Africa,
34.03,-8.83,36,1.6,Hk,-,EARS,N,Africa,
34.39,-8.76,40,1.73,Hk,-,EARS,N,Africa,
33.57,-8.73,40,1.79,Hk,-,EARS,N,Africa,
32.04,-8.58,37,1.9,Hk,-,EARS,N,Africa,
33.43,-8.54,41,1.6,Hk,-,EARS,N,Africa,
31.15,-8.44,42,1.74,Hk,-,EARS,N,Africa,
33.17,-8.39,38,1.66,Hk,-,EARS,N,Africa,
30.97,-8.13,34,1.62,Hk,-,EARS,N,Africa,
33.26,-8.11,35,1.76,Hk,-,EARS,N,Africa,
31.63,-7.96,49,1.76,Hk,-,EARS,N,Africa,
33.32,-7.91,38,1.75,Hk,-,EARS,N,Africa,
30.72,-7.69,45,1.71,Hk,-,EARS,N,Africa,
30.66,-7.62,35,1.93,Hk,-,EARS,N,Africa,
31.27,-7.59,70,1.99,Hk,-,EARS,N,Africa,
31.04,-7.52,48,1.74,Hk,-,EARS,N,Africa,
30.59,-7.43,31,1.87,Hk,-,EARS,N,Africa,
31.02,-7.19,41,1.74,Hk,-,EARS,N,Africa,
30.54,-7.17,52,1.64,Hk,-,EARS,N,Africa,
33.52,-6.94,40,1.77,Hk,-,EARS,N,Africa,
31.14,-6.62,40,1.77,Hk,-,EARS,N,Africa,
35.75,-6.19,34,1.89,Hk,-,EARS,N,Africa,
34.06,-6.02,38,1.74,Hk,-,EARS,N,Africa,
37.48,-5.38,38,1.73,Hk,-,EARS,N,Africa,
36.57,-5.32,39,1.73,Hk,-,EARS,N,Africa,
38.62,-5.3,36,1.68,Hk,-,EARS,N,Africa,
35.4,-5.25,39,1.73,Hk,-,EARS,N,Africa,
30.4,-5.12,40,1.73,Hk,-,EARS,N,Africa,
32.08,-5.09,38,2.09,Hk,-,EARS,N,Africa,
34.35,-4.96,38,1.71,Hk,-,EARS,N,Africa,
35.8,-4.9,39,1.67,Hk,-,EARS,N,Africa,
29.69,-4.84,43,1.76,Hk,-,EARS,N,Africa,
33.18,-4.71,36,1.75,Hk,-,EARS,N,Africa,
34.73,-4.64,38,1.77,Hk,-,EARS,N,Africa,
35.14,-4.32,38,1.6,Hk,-,EARS,N,Africa,
36.02,-3.89,38,1.75,Hk,-,EARS,N,Africa,
36.72,-3.84,38,1.7,Hk,-,EARS,N,Africa,
36.44,-3.23,34,1.97,Hk,-,EARS,N,Africa,
35.69,-3.14,39,1.83,Hk,-,EARS,N,Africa,
35.41,-3.1,38,2.09,Hk,-,EARS,N,Africa,
36.1,-3.04,30,2.09,Hk,-,EARS,N,Africa,
36,-3.02,58,1.6,Hk,-,EARS,N,Africa,
36.68,-3.01,39,1.68,Hk,-,EARS,N,Africa,
35.51,-2.99,40,1.84,Hk,-,EARS,N,Africa,
36.29,-2.99,36,1.74,Hk,-,EARS,N,Africa,
35.37,-2.98,40,1.69,Hk,-,EARS,N,Africa,
35.25,-2.96,40,1.74,Hk,-,EARS,N,Africa,
35.7,-2.96,46,1.74,Hk,-,EARS,N,Africa,
36.05,-2.92,36,1.77,Hk,-,EARS,N,Africa,
36.18,-2.88,25,1.6,Hk,-,EARS,N,Africa,
36.14,-2.84,36,1.76,Hk,-,EARS,N,Africa,
36.3,-2.82,35,1.79,Hk,-,EARS,N,Africa,
36.05,-2.75,36,1.76,Hk,-,EARS,N,Africa,
35.36,-2.73,39,1.7,Hk,-,EARS,N,Africa,
36.7,-2.73,41,1.67,Hk,-,EARS,N,Africa,
38.17,-2.69,70,1.8,Hk,-,EARS,N,Africa,
36.01,-2.63,37,1.7,Hk,-,EARS,N,Africa,
36.18,-2.63,36,1.81,Hk,-,EARS,N,Africa,
36.46,-2.62,37,1.73,Hk,-,EARS,N,Africa,
35.48,-2.61,40,1.68,Hk,-,EARS,N,Africa,
35.88,-2.61,36,1.81,Hk,-,EARS,N,Africa,
35.6,-2.52,35,1.87,Hk,-,EARS,N,Africa,
35.89,-2.5,37,1.71,Hk,-,EARS,N,Africa,
36.8,-2.5,39,1.76,Hk,-,EARS,N,Africa,
36.42,-2.44,38,1.79,Hk,-,EARS,N,Africa,
35.43,-2.42,39,1.68,Hk,-,EARS,N,Africa,
35.69,-2.3,37,1.71,Hk,-,EARS,N,Africa,
35.81,-2.27,34,1.7,Hk,-,EARS,N,Africa,
36.12,-2.09,42,1.6,Hk,-,EARS,N,Africa,
35.55,-2.06,38,1.69,Hk,-,EARS,N,Africa,
36.29,-1.92,63,1.65,Hk,-,EARS,N,Africa,
36.05,-1.78,39,1.76,Hk,-,EARS,N,Africa,
13.61,-1.66,50,1.73,Hk,-,EARS,N,Africa,
29.24,-1.66,32,1.6,Hk,-,EARS,N,Africa,
38,-1.37,40,1.74,Hk,-,EARS,N,Africa,
36.8,-1.27,43,1.81,Hk,-,EARS,N,Africa,
36.8,-1.27,42,1.82,Hk,-,EARS,N,Africa,
36.8,-1.27,44,1.8,Hk,-,EARS,N,Africa,
37.25,-1.13,42,1.74,Hk,-,EARS,N,Africa,
37.25,-1.13,41,1.75,Hk,-,EARS,N,Africa,
35.87,-1.07,55,1.6,Hk,-,EARS,N,Africa,
30.74,-0.6,34,1.8,Hk,-,EARS,N,Africa,
35.73,0.04,28,2,Hk,-,EARS,N,Africa,
32.48,0.05,26,1.6,Hk,-,EARS,N,Africa,
34.98,0.98,39,1.63,Hk,-,EARS,N,Africa,
32.28,2.88,39,1.7,Hk,-,EARS,N,Africa,
10.15,3.78,33,1.73,Hk,-,EARS,N,Africa,
9.33,4.23,48,1.6,Hk,-,EARS,N,Africa,
18.42,5.18,42,1.71,Hk,-,EARS,N,Africa,
39.57,5.33,38,1.73,Hk,-,EARS,N,Africa,
-0.33,5.59,39,1.89,Hk,-,EARS,N,Africa,
39.3,5.78,38,1.74,Hk,-,EARS,N,Africa,
37.56,6.07,31,1.88,Hk,-,EARS,N,Africa,
38.21,6.16,29,2.04,Hk,-,EARS,N,Africa,
-0.37,6.19,33,1.99,Hk,-,EARS,N,Africa,
0.07,6.3,46,1.81,Hk,-,EARS,N,Africa,
39.86,6.42,40,1.75,Hk,-,EARS,N,Africa,
-1.44,6.46,48,1.64,Hk,-,EARS,N,Africa,
0.44,6.61,51,1.7,Hk,-,EARS,N,Africa,
-4.86,6.67,39,1.7,Hk,-,EARS,N,Africa,
38.47,6.93,38,1.94,Hk,-,EARS,N,Africa,
39.28,7.03,40,1.85,Hk,-,EARS,N,Africa,
39.98,7.03,40,1.87,Hk,-,EARS,N,Africa,
40.72,7.13,43,1.82,Hk,-,EARS,N,Africa,
37.17,7.14,34,1.8,Hk,-,EARS,N,Africa,
37.86,7.56,39,1.92,Hk,-,EARS,N,Africa,
36.83,7.68,32,1.77,Hk,-,EARS,N,Africa,
39.91,7.79,41,1.78,Hk,-,EARS,N,Africa,
39.13,7.97,38,1.85,Hk,-,EARS,N,Africa,
39.13,7.97,55,1.63,Hk,-,EARS,N,Africa,
39.56,8.06,41,1.83,Hk,-,EARS,N,Africa,
35.53,8.15,39,1.72,Hk,-,EARS,N,Africa,
39.09,8.3,44,1.6,Hk,-,EARS,N,Africa,
36.33,8.44,37,1.75,Hk,-,EARS,N,Africa,
39.55,8.51,46,2.1,Hk,-,EARS,N,Africa,
38.9,8.54,42,1.73,Hk,-,EARS,N,Africa,
39.29,8.57,40,1.71,Hk,-,EARS,N,Africa,
40.32,8.59,46,1.73,Hk,-,EARS,N,Africa,
38.61,8.61,34,1.96,Hk,-,EARS,N,Africa,
39.8,8.73,33,1.97,Hk,-,EARS,N,Africa,
39.55,8.75,40,1.78,Hk,-,EARS,N,Africa,
39,8.78,30,2.1,Hk,-,EARS,N,Africa,
38.68,8.9,31,2.1,Hk,-,EARS,N,Africa,
40.77,8.91,46,1.76,Hk,-,EARS,N,Africa,
39.42,8.94,27,2.1,Hk,-,EARS,N,Africa,
37.77,8.97,54,1.66,Hk,-,EARS,N,Africa,
34.61,8.98,38,1.8,Hk,-,EARS,N,Africa,
40.17,8.99,18,1.6,Hk,-,EARS,N,Africa,
39.84,9,36,1.88,Hk,-,EARS,N,Africa,
38.77,9.04,36,2,Hk,-,EARS,N,Africa,
36.52,9.09,34,1.79,Hk,-,EARS,N,Africa,
36.52,9.09,43,1.63,Hk,-,EARS,N,Africa,
39.02,9.15,38,1.92,Hk,-,EARS,N,Africa,
41.11,9.22,41,1.73,Hk,-,EARS,N,Africa,
40.76,9.24,23,2.06,Hk,-,EARS,N,Africa,
38.76,9.31,62,1.6,Hk,-,EARS,N,Africa,
40.2,9.31,20,1.6,Hk,-,EARS,N,Africa,
35.65,9.38,36,1.72,Hk,-,EARS,N,Africa,
39.73,9.59,36,1.93,Hk,-,EARS,N,Africa,
39.53,9.67,60,1.61,Hk,-,EARS,N,Africa,
39.53,9.67,44,1.81,Hk,-,EARS,N,Africa,
38.74,9.78,26,2.01,Hk,-,EARS,N,Africa,
35.11,9.79,34,1.81,Hk,-,EARS,N,Africa,
36.31,9.85,37,1.7,Hk,-,EARS,N,Africa,
39.14,9.9,42,1.89,Hk,-,EARS,N,Africa,
36.87,9.96,37,1.81,Hk,-,EARS,N,Africa,
39.89,10,40,1.78,Hk,-,EARS,N,Africa,
40.57,10.01,31,1.6,Hk,-,EARS,N,Africa,
34.56,10.09,36,1.75,Hk,-,EARS,N,Africa,
40.65,10.17,13,1.6,Hk,-,EARS,N,Africa,
37.73,10.31,40,1.81,Hk,-,EARS,N,Africa,
39.93,10.42,46,1.84,Hk,-,EARS,N,Africa,
39.93,10.42,39,1.69,Hk,-,EARS,N,Africa,
34.79,10.59,33,1.74,Hk,-,EARS,N,Africa,
35.66,10.63,35,1.76,Hk,-,EARS,N,Africa,
38.27,10.88,41,1.78,Hk,-,EARS,N,Africa,
36.52,10.96,37,1.75,Hk,-,EARS,N,Africa,
39.64,11.12,43,1.82,Hk,-,EARS,N,Africa,
35.29,11.27,31,1.75,Hk,-,EARS,N,Africa,
42.85,11.53,24,1.79,Hk,-,EARS,N,Africa,
37.38,11.56,46,1.75,Hk,-,EARS,N,Africa,
36.49,11.57,38,1.72,Hk,-,EARS,N,Africa,
37.39,11.57,30,1.6,Hk,-,EARS,N,Africa,
41,11.79,12,1.63,Hk,-,EARS,N,Africa,
35.58,11.83,31,1.71,Hk,-,EARS,N,Africa,
39.6,11.83,38,1.71,Hk,-,EARS,N,Africa,
36.87,11.93,38,1.87,Hk,-,EARS,N,Africa,
36.37,12.06,33,1.76,Hk,-,EARS,N,Africa,
35.96,12.4,30,1.78,Hk,-,EARS,N,Africa,
37.03,12.51,38,1.85,Hk,-,EARS,N,Africa,
37.45,12.58,43,1.76,Hk,-,EARS,N,Africa,
37.99,12.74,42,1.79,Hk,-,EARS,N,Africa,
36.4,12.79,36,1.7,Hk,-,EARS,N,Africa,
37.9,13.14,39,1.93,Hk,-,EARS,N,Africa,
36.97,13.57,26,1.74,Hk,-,EARS,N,Africa,
-16.96,14.39,28,1.96,Hk,-,EARS,N,Africa,
-4.01,14.5,28,1.96,Hk,-,EARS,N,Africa,
5.53,22.79,34,1.76,Hk,-,EARS,N,Africa,
31.83,29.93,30,1.97,Hk,-,EARS,N,Africa,
13.09,32.12,34,1.74,Hk,-,EARS,N,Africa,
13.09,32.12,42,1.66,Hk,-,EARS,N,Africa,
20.88,32.52,29,1.6,Hk,-,EARS,N,Africa,
10.53,32.58,34,1.66,Hk,-,EARS,N,Africa,
-4.61,32.82,44,1.6,Hk,-,EARS,N,Africa,
-6.86,33.99,36,1.81,Hk,-,EARS,N,Africa,
9.07,34.34,28,1.61,Hk,-,EARS,N,Africa,
-2.94,35.29,51,1.63,Hk,-,EARS,N,Africa,
7.47,36.28,25,1.91,Hk,-,EARS,N,Africa,
2.73,36.3,22,1.96,Hk,-,EARS,N,Africa,
-83.34,8.4,41,1.6,Hk,-,EARS,N,America_North,
-83.32,8.41,46,1.6,Hk,-,EARS,N,America_North,
-82.87,8.57,47,1.84,Hk,-,EARS,N,America_North,
-83.68,8.67,46,1.79,Hk,-,EARS,N,America_North,
-83.23,8.68,56,1.6,Hk,-,EARS,N,America_North,
-83.51,8.7,30,1.9,Hk,-,EARS,N,America_North,
-82.69,8.79,28,1.61,Hk,-,EARS,N,America_North,
-82.76,8.89,38,2.1,Hk,-,EARS,N,America_North,
-83.12,9.05,63,1.63,Hk,-,EARS,N,America_North,
-83.65,9.1,36,1.6,Hk,-,EARS,N,America_North,
-83.36,9.23,35,2.1,Hk,-,EARS,N,America_North,
-83.25,9.26,31,1.86,Hk,-,EARS,N,America_North,
-83.68,9.38,57,1.6,Hk,-,EARS,N,America_North,
-84.12,9.39,27,1.6,Hk,-,EARS,N,America_North,
-83.76,9.55,34,1.61,Hk,-,EARS,N,America_North,
-85.09,9.59,25,2.02,Hk,-,EARS,N,America_North,
-84.66,9.66,40,1.63,Hk,-,EARS,N,America_North,
-85.11,9.69,26,1.84,Hk,-,EARS,N,America_North,
-84.01,9.74,40,1.6,Hk,-,EARS,N,America_North,
-83.86,9.77,20,1.94,Hk,-,EARS,N,America_North,
-83.86,9.77,62,1.92,Hk,-,EARS,N,America_North,
-84.91,9.81,18,1.6,Hk,-,EARS,N,America_North,
-83.44,9.82,27,1.8,Hk,-,EARS,N,America_North,
-83.96,9.89,36,1.99,Hk,-,EARS,N,America_North,
